Name,Tags
chat,"message, messages, messaging, talk, talking, converse, conversation, informal, friend, friends, friendly, bubble, bubbles, social, social media, app, apps, application, contact, chatbot"
chat-bubble,"message, messages, messaging, talk, talking, converse, conversation, informal, friend, friends, friendly, bubbles, social, social media, app, apps, application, contact, chatbot"
chat-bubbles,"message, messages, messaging, talk, talking, converse, conversation, informal, friend, friends, friendly, bubble, social, social media, app, apps, application, contact, chatbot"
check-fill,"checkmark, mark, tick, tickmark, checklist, list, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen, task"
check-line,"checkmark, mark, tick, tickmark, checklist, list, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen"
check-list,"checkmark, mark, tick, tickmark, checklist, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen, tasks"
check-mark,"checkmark, tick, tickmark, checklist, list, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen, task"
chemical-hazard,"bio, biological, biohazard, waste, toxic, gas, gas mask, disease, threat, dangerous, harmful, health, environment, humans, animals, infectious, infect, contaminate, contamination, microorganism, bacteria, virus, COVID-19, coronavirus, corona, COVID"
chrome,"Google, web, app, application, browser, extensions, themes"
church,"building, public, churches, religion, religious, Christian, worship, service, chapel, parish, sanctuary, shrine, cathedral, cross, steeple"
city,"large, settlement, municipality, metropolis, megalopolis, urban, congested, crowded, people, populated, population, size, density, public, services, capital, downtown, midtown, center"
clipboard,"clip, board, hold, holding, short-term, temporary, store, storage, transfer, cut, paste, pasted, copy, copied, file, files, text, paper, select"
clock,"clocks, time, times, timer, timed, timing, timeout, timepiece, day, date, hour, hours, minute, minutes, second, seconds, measure, device, dial, schedule"
close-fill,"X, control, button, cancel, abort, stop, cut, delete, collapse, shut"
close-line,"X, control, button, cancel, abort, stop, cut, delete, collapse, shut"
close-mark,"X, control, button, cancel, abort, stop, cut, delete, collapse, shut"
cloud-download,"digital, online, save, saving, saved, file, files, data, copy, duplicate, downloading, downloaded, downloads, upload, uploading, uploaded,  uploads"
cloud-gear,"gears, function, functions, functionality, process, processes, processed, processing, save, saving, update, updating, upload, uploading"
cloud-network,"net, networks, networking, connect, connected, interconnected, together, computer, computers, machine, machines, operations, ops, multiple, link, linked, tech, technology, set, group, share, shared, sharing, resources, node, nodes, comms, communication, communications, digital, chain, grid, organization, structure, system, web, online, service, services, sync, synchronized"
cloud-services,"net, networks, networking, connect, connected, interconnected, together, computer, computers, machine, machines, operations, ops, multiple, link, linked, tech, technology, set, group, share, shared, sharing, resources, node, nodes, comms, communication, communications, digital, chain, grid, organization, structure, system, web, online, service, sync, synchronized"
cloud-sync,"net, networks, networking, connect, connected, interconnected, together, computer, computers, machine, machines, operations, ops, multiple, link, linked, tech, technology, set, group, share, shared, sharing, resources, node, nodes, comms, communication, communications, digital, chain, grid, organization, structure, system, web, online, service, services, synchronized"
cloud-upload,"digital, online, save, saving, saved, file, files, data, copy, duplicate, download, downloading, downloaded, downloads, uploading, uploaded, uploads"
